id,temp_error,x,y,z
117,-0.10386346512001,-40.724775,0,0
118,-0.10536833025179,-40.618305,0,0
119,-0.10688026482615,-40.511835,0,0
120,-0.10839963912468,-40.405365,0,0
121,-0.10992608906872,-40.298895,0,0
122,-0.11145739147253,-40.192425,0,0
123,-0.11299331595342,-40.085955,0,0
124,-0.11453581591184,-39.979485,0,0
125,-0.1160849350415,-39.873015,0,0
126,-0.11763930228619,-39.766545,0,0
127,-0.11919889626517,-39.660075,0,0
128,-0.12076478722651,-39.553605,0,0
129,-0.12233750899969,-39.447135,0,0
130,-0.12391644512167,-39.340665,0,0
131,-0.12550035635644,-39.234195,0,0
132,-0.12708843328846,-39.127725,0,0
133,-0.12868093220931,-39.021255,0,0
134,-0.13027889501001,-38.914785,0,0
135,-0.13188214005817,-38.808315,0,0
136,-0.13348990390034,-38.701845,0,0
137,-0.13510267307896,-38.595375,0,0
138,-0.13672139067859,-38.488905,0,0
139,-0.13834653059968,-38.382435,0,0
140,-0.13997735216225,-38.275965,0,0
141,-0.14161350641996,-38.169495,0,0
142,-0.14325537942187,-38.063025,0,0
143,-0.14490223864243,-37.956555,0,0
144,-0.14655225035165,-37.850085,0,0
145,-0.14820440000886,-37.743615,0,0
146,-0.14985911872407,-37.637145,0,0
147,-0.15151662511687,-37.530675,0,0
148,-0.15317748484517,-37.424205,0,0
149,-0.15484311311513,-37.317735,0,0
150,-0.15651336377476,-37.211265,0,0
151,-0.15818681279558,-37.104795,0,0
152,-0.15986272047468,-36.998325,0,0
153,-0.16154126462379,-36.891855,0,0
154,-0.16322451641201,-36.785385,0,0
155,-0.16491383169432,-36.678915,0,0
156,-0.16660850316828,-36.572445,0,0
157,-0.16830879145601,-36.465975,0,0
158,-0.17001414076424,-36.359505,0,0
159,-0.1717222733493,-36.253035,0,0
160,-0.17343327405518,-36.146565,0,0
161,-0.17514847762999,-36.040095,0,0
162,-0.17686699311224,-35.933625,0,0
163,-0.17858758653711,-35.827155,0,0
164,-0.18031055458931,-35.720685,0,0
165,-0.18203693472111,-35.614215,0,0
166,-0.18376669730031,-35.507745,0,0
167,-0.18549911683289,-35.401275,0,0
168,-0.1872343861283,-35.294805,0,0
169,-0.18897251855583,-35.188335,0,0
170,-0.190712428702,-35.081865,0,0
171,-0.19245308828835,-34.975395,0,0
172,-0.19419528747193,-34.868925,0,0
173,-0.19594004213184,-34.762455,0,0
174,-0.19768627070943,-34.655985,0,0
175,-0.19943245149778,-34.549515,0,0
176,-0.20117840527297,-34.443045,0,0
177,-0.20292522635424,-34.336575,0,0
178,-0.20467358740649,-34.230105,0,0
179,-0.20642351612253,-34.123635,0,0
180,-0.20817531750333,-34.017165,0,0
181,-0.20992938793177,-33.910695,0,0
182,-0.21168502611624,-33.804225,0,0
183,-0.21344089207889,-33.697755,0,0
184,-0.21519742083751,-33.591285,0,0
185,-0.21695457838393,-33.484815,0,0
186,-0.21871169406722,-33.378345,0,0
187,-0.22046949324687,-33.271875,0,0
188,-0.22222775228636,-33.165405,0,0
189,-0.22398606675785,-33.058935,0,0
190,-0.22574422249915,-32.952465,0,0
191,-0.22750211224695,-32.845995,0,0
192,-0.22926071906295,-32.739525,0,0
193,-0.23102040117499,-32.633055,0,0
194,-0.23278047579748,-32.526585,0,0
195,-0.23454058587356,-32.420115,0,0
196,-0.23630136817496,-32.313645,0,0
197,-0.23806258387634,-32.207175,0,0
198,-0.23982437694377,-32.100705,0,0
199,-0.24158808004512,-31.994235,0,0
200,-0.2433531889086,-31.887765,0,0
201,-0.24511771569996,-31.781295,0,0
202,-0.24688081748917,-31.674825,0,0
203,-0.24864349782973,-31.568355,0,0
204,-0.25040730183309,-31.461885,0,0
205,-0.25217290650772,-31.355415,0,0
206,-0.25393968394332,-31.248945,0,0
207,-0.25570651781203,-31.142475,0,0
208,-0.25747291016319,-31.036005,0,0
209,-0.25923904543475,-30.929535,0,0
210,-0.26100486812959,-30.823065,0,0
211,-0.26277008738293,-30.716595,0,0
212,-0.26453427954681,-30.610125,0,0
213,-0.26629658882359,-30.503655,0,0
214,-0.26805708709014,-30.397185,0,0
215,-0.26981720114691,-30.290715,0,0
216,-0.27157729253634,-30.184245,0,0
217,-0.27333626590507,-30.077775,0,0
218,-0.2750938843979,-29.971305,0,0
219,-0.2768504057122,-29.864835,0,0
220,-0.27860481803634,-29.758365,0,0
221,-0.28035706028896,-29.651895,0,0
222,-0.28210877214224,-29.545425,0,0
223,-0.28385999148111,-29.438955,0,0
224,-0.28560907837004,-29.332485,0,0
225,-0.28735562657579,-29.226015,0,0
226,-0.28910048905811,-29.119545,0,0
227,-0.29084372194188,-29.013075,0,0
228,-0.29258501413517,-28.906605,0,0
229,-0.29432444391892,-28.800135,0,0
230,-0.29606212927257,-28.693665,0,0
231,-0.29779780135055,-28.587195,0,0
232,-0.29953104122148,-28.480725,0,0
233,-0.30126227632547,-28.374255,0,0
234,-0.30299166446065,-28.267785,0,0
235,-0.30471857935163,-28.161315,0,0
236,-0.30644256522561,-28.054845,0,0
237,-0.30816325930823,-27.948375,0,0
238,-0.30988018204204,-27.841905,0,0
239,-0.31159297335842,-27.735435,0,0
240,-0.31330271379693,-27.628965,0,0
